timestamp,x,y,z
1985591,-0.366,0.0,-0.061
1986595,-0.122,0.122,0.122
1987601,0.122,0.061,0.183
1988607,-0.061,0.427,-0.183
1989611,-0.366,0.122,-0.183
1990615,-0.061,0.183,0.061
1991620,1.16,0.366,0.854
1992624,0.305,0.122,0.183
1993630,-2.319,0.183,-0.61
1994634,0.916,0.183,0.0
1995638,-0.122,0.183,-0.061
1996642,-0.305,0.732,-0.122
1997647,0.122,0.061,0.244
5004540,-0.061,0.122,-0.061
5005545,-0.122,0.122,0.0
5006550,-0.122,0.244,0.0
5007556,-0.122,0.122,0.0
5008561,-0.122,0.183,0.0
5009565,-0.122,0.122,0.0
5010569,-0.122,0.305,0.0
5011573,-0.122,0.244,0.0
5012577,-0.061,0.244,0.0
5013582,-0.122,0.183,0.0
5014587,0.0,0.305,0.0
5015591,-0.427,-0.183,0.488
5016598,-18.433,-17.883,9.033
5017603,-11.841,9.338,3.845
5018609,29.236,-20.63,54.138
5019613,0.854,1.953,2.136
5020617,0.427,2.38,-1.587
5021621,-0.366,-0.122,-1.16
5022626,0.305,2.075,-0.244
5023631,0.0,-0.183,-0.305
5024635,0.0,0.122,-0.183
5025641,0.0,1.099,0.671
5026647,0.671,-2.258,-4.944
5027652,0.732,-2.747,-0.122
5028656,0.0,0.671,-0.122
5029662,0.244,0.305,-0.244
5030666,0.061,0.061,0.122
5031671,-0.427,-0.427,0.061
5032676,0.061,0.61,-0.122
5033680,-0.122,0.0,0.061
5034685,-0.366,-0.916,0.061
5035689,0.122,-0.183,0.0
5036694,-0.366,0.488,-0.122
5037698,-0.122,-0.61,-0.427
5038703,-0.305,-0.427,0.671
5039708,0.183,0.244,0.244
5040712,0.061,0.793,-0.183
5041716,-0.183,0.977,-0.427
5042721,0.0,0.0,-0.122
5043725,-0.122,0.427,0.0
5044730,-0.244,-2.014,0.427
5045735,0.0,-0.854,-0.732
5046739,-0.244,0.122,-2.808
5047745,-15.625,8.545,-18.066
5048752,-0.061,39.185,-27.771
5049757,-0.488,-2.38,0.671
5050762,-0.122,-0.732,0.0
5051769,0.305,0.549,0.0
